month,town,resale_price
2025-01-01,BUKIT MERAH,733885.8021978022
2025-01-01,CENTRAL AREA,796000.0
2025-01-01,JURONG WEST,565023.8707482993
2025-01-01,TAMPINES,719093.8617021276
2025-01-01,WOODLANDS,598077.3062857143
2025-02-01,BUKIT MERAH,773352.2365591398
2025-02-01,CENTRAL AREA,716688.8
2025-02-01,JURONG WEST,524550.4375
2025-02-01,TAMPINES,706684.7710843374
2025-02-01,WOODLANDS,604440.816056338
2025-03-01,BUKIT MERAH,756793.6
2025-03-01,CENTRAL AREA,805975.1111111111
2025-03-01,JURONG WEST,561320.1666666666
2025-03-01,TAMPINES,714119.7894736842
2025-03-01,WOODLANDS,595348.2807017544
